id,text,Class
1,"RT @cpham_15: Piger der hepper på et hold fordi de synes en af spillerne er lækker, skal tilbage i køkkenet #NotSexist #JustTh...",sexism
91,"Du har ikke brug for det. @mshaysoul Jeg er ikke sexistisk, men med hvert indlæg og bitter kommentar har jeg mindre og mindre sympati for den kvindelige ""kamp""",sexism
117,@ChristinaLoken1 Jeg har den samme mening.  Hvad har jeg overset?,sexism
171,"@HumanistFury @ListenToRaisin @BristolBen ...medmindre det er i hendes (blyantfyldte) hænder, selvfølgelig.",sexism
181,R u fucking kidding - catwalk - det eneste der mangler er en stang #mkr,sexism
265,"Ja, dem, du er sammen med, af en eller anden uforklarlig grund. @Jay_FJ Kald mig bare sexist. Uduelige kvinder. http://t.co/0OAHeJ4CDm",sexism
360,"RT @B_Eds517 Jeg er ikke sexistisk, men for fanden hvorfor lader de kvinder opføre sig som om de kender til basketball....",sexism
376,"@NNNdabbour64 Tanken om at tage til et land, hvor den kvindelige halvdel af befolkningen bliver behandlet som slaver og leppere, får mig til at gyse i bukserne.",racism
378,"@harmlesstree2 De første korstog blev udført af muslimerne microbrain, da de invaderede Europa og plyndrede helt til det centrale Frankrig.",racism
381,@Scyleet Er @kmx1974 virkelig dum eller er det bare trolling?,sexism
389,".@knux1995 Nej, nej...det er mit syn på, hvordan vi kan fremme ligestilling.  Skal udrydde dem der hævder lighed, mens de arbejder imod den.",sexism
407,"Hvorfor spærrer ISIS, saudierne og Taliban kvinder inde i deres hjem? Fordi Koranen siger det til dem.  #Islam #Irak http://t.co/dm64qJbkMj",racism
465,"RT @AshoorB1: Ikke sexistisk, men kvinder og sport er ikke efter min smag tbh, især når jeg ser um i UFC!! Lad det være, gå ud og bliv sygeplejerske eller hår dre....",sexism
588,@Vandaliser @sajid_fairooz @IsraeliRegime Stol ikke på en enkelt sag. Læs Umars pagt.,racism
601,@asem_1994 ISIS halshugger folk. Saudi halshugger folk. Muhammed halshuggede 600 jøder.,racism
629,"Så snart vi aflyser alle helligdage til ære for mænd! @jvolk2 Jeg er ikke sexistisk, men kan vi holde op med at lave helligdage for kvinder?",sexism
642,"RT @PatDollard: Såkaldt terrorisme er bare jihad. Det er derfor ""terrorister"" kaldes jihadister. Jihad er kernen i islam, ikke en perversion...",racism
662,@mykitchenrules Kat blive ydmyget af din holdning.. Ikke din madlavning. #MKR,sexism
665,RT @uberfeminist: Hvorfor inviterer dudebros på kontoret dig ikke til poker og whisky-aften? Sikke et mysterium #TwitterFeminisme,sexism
676,"@Love___Egypt @washingtonpost Man skal ikke klage over bigotteri, når man praktiserer en religion med bigotteri. http://t.co/VnG32SFEes",racism
687,"RT @NikFuq Er det virkelig kvindemåned?? Jeg er ikke sexistisk, men hvordan kan det være, at mænd ikke får en???? Nogle af mine bedste veninder er kvinder btw.",sexism
688,@WithTrish @JRehling Ikke nær så meget som de gik amok over en Muhammed-tegning.,racism
711,"De er virkelig ved at bevise, at de er dumme blondiner #MKR",sexism
730,"Sikke et kedeligt spørgsmål. @Replacement2 Jeg er ikke sexistisk, men kan kvindefodbold nogensinde få samme opmærksomhed som mændenes liga??????",sexism
756,"@truaemusic @mattybboi83 @Number10gov Igen er det dig, der lyver. Muslimer invaderede Europa 400 år før korstogene.",racism
792,"RT @Jrod__RigueZ Jeg hader når kvinder taler om fodbold, men ikke ved hvad de taler om Det er kun sødt når man ved hvad man snakker om! #NoSexist",sexism
802,"@johnnygjokaj @BilalIGhumman @98Halima @cdnKhadija @rfrankh53 Der er intet, som ISIS gør, som profeten Muhammed ikke også har gjort.",racism
985,@discerningmumin Hvad taler du om provokation? Islam har erklæret verden krig.  Det er mere end nok provokation.,racism
1009,"RT @AustinDrawbond Jeg sværger, at jeg ikke er sexistisk, men der er alt for mange kvindelige chauffører i denne by.",sexism
1066,.@WayneJBurrows @adriennecgomez @ListenToRaisin ...feminismen ville kun have et problem med navnet.,sexism
1091,"@EuroSlavA @brenbarber De to er de eneste selvudpegede feminister, jeg kan komme i tanke om, som er lovlige.",sexism
1101,@AnwarPrince14 @SABCNewsOnline Hvorfor ikke? Palæstinenserne halshugger bøsser og æresdrab på kvinder.,racism
1108,"RT @Doormat22 Kald mig sexistisk, men jeg kan ærligt talt ikke se en sportsbegivenhed med en kvindelig kommentator #sorrynotsorry",sexism
1122,"@MaxBlumenthal Profeten Muhammed halshuggede 600 jøder, fordi de ikke var loyale over for ham. Og alle muslimer elsker Muhammed. Så hvad er problemet?",racism
1123,"@MrInsaf @georgegalloway Hvorfor, når han kunne blive valgt til borgmester i Peshwar i et hjerteslag. Han kunne så myrde kristne for blasfemi.",racism
1163,"@freemedialive Fuck #Islam. Muhammed var pædofil, morder, bigot, sexist, voldtægtsforbryder, slavehandler, karavanerøver og løgner.",racism
1210,"RT @StayingInPower Hvorfor er Thor en kvinde nu? Jeg er ikke sexistisk, men det giver bare ikke nogen fucking mening.",sexism
1249,RT @Alexsim23: Hvorfor er kvindernes begivenheder altid på efter mændenes? Det kan altid kun være skuffende i sammenligning. #notsexist #commonsen...,sexism
1256,"Så Twitter kalder Kat for skøre øjne!!!! Velsignet være Twitter! Hun har bogstaveligt talt de skøreste fucking øjne, jeg nogensinde har set. #mkr",sexism
1280,"@MaxBlumenthal Hvorfor spørger Blumenthal så ikke Hamas, hvorfor de aldrig holder valg?",racism
1305,"@cjn159u Har intet svar der. Hillary er en forfærdelig mangelfuld kandidat, men...Bush? Romney? Santorum? Huckabee? Valg mellem skudt eller stukket ned",sexism
1345,"LMAO @ItsTrickey15 Mitt Romney skal stille op for en 3. gang i 2016, ikke sexistisk, men Hillary Clinton kan ikke lede dette land",sexism
1349,"Nej! @NashtySteve: Jeg er ikke sexistisk, men det er kun fyre, der bør jage spøgelser. #Ghostbusters",sexism
1438,"RT @usaone0: @AmyMek
Proper Grammer :Islam fobi er ikke en medicinsk tilstand det er sandhed.",racism
1457,"@palmeye @Rudd1971 Da 90 % af de muslimske civile bliver dræbt af muslimske terrorister, er din Avatar bare propaganda.",racism
